# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1045.4305285796747,1045.4305285796747,1045.430528579675,1045.430528579675,1045.4305285796747,1045.4305285796747,1045.430528579675,1045.430528579675
2030,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.880092597663,1126.8800925976634,1126.8800925976632
2040,1192.2019066238638,1192.2019066238638,1192.2019066238638,1192.201906623864,1192.2019066238638,1192.2019066238638,1192.201906623864,1192.201906623864
2050,864.1592035586018,864.1592035586018,864.1592035586017,864.1592035586019,864.1592035586018,864.1592035586017,864.1592035586018,864.1592035586018
2075,,,,,,,,
2100,1023.3886111060984,1023.3886111060984,1023.3886111060986,1023.3886111060986,1023.3886111060986,1023.3886111060983,1023.3886111060986,1023.3886111060987
2150,962.0669100684122,962.0669100684122,962.0669100684122,962.0669100684122,962.0669100684123,962.0669100684122,962.0669100684123,962.0669100684123
2200,900.7452090307258,900.745209030726,900.745209030726,900.7452090307261,900.745209030726,900.745209030726,900.745209030726,900.7452090307261
2250,839.4235079930397,839.4235079930397,839.4235079930396,839.4235079930398,839.4235079930396,839.4235079930396,839.4235079930398,839.4235079930397
2300,839.4235079930397,839.4235079930397,839.4235079930396,839.4235079930398,839.4235079930396,839.4235079930396,839.4235079930398,839.4235079930397
