# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1.0603720492115731,1.0603720492115731,1.060372049211573,1.060372049211573,1.0603720492115731,1.0603720492115731,1.0603720492115731,1.060372049211573
2030,1.3414565507367064,1.3414565507367064,1.3414565507367064,1.3414565507367062,1.3414565507367064,1.3414565507367064,1.3414565507367064,1.3414565507367064
2040,1.6683209196298958,1.668320919629896,1.668320919629896,1.6683209196298958,1.668320919629896,1.668320919629896,1.668320919629896,1.6683209196298958
2050,1.2206303673297547,1.2206303673297547,1.2206303673297547,1.2206303673297547,1.2206303673297547,1.2206303673297545,1.2206303673297547,1.2206303673297545
2075,,,,,,,,
2100,-0.492709371061289,-0.492709371061289,-0.492709371061289,-0.4927093710612889,-0.492709371061289,-0.4927093710612889,-0.492709371061289,-0.4927093710612889
2150,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534,-0.31552086788728534
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
