# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.9074901264056446,0.9074901264056446,0.9074901264056446,0.9074901264056446,0.9074901264056446,0.9074901264056446,0.9074901264056446,0.9074901264056446
2030,0.8944849809293436,0.8944849809293435,0.8944849809293435,0.8944849809293436,0.8944849809293436,0.8944849809293436,0.8944849809293435,0.8944849809293436
2040,0.7536003436174193,0.7536003436174193,0.7536003436174193,0.7536003436174193,0.7536003436174193,0.7536003436174192,0.7536003436174192,0.7536003436174192
2050,0.6039908999670701,0.6039908999670701,0.60399089996707,0.6039908999670701,0.6039908999670701,0.60399089996707,0.60399089996707,0.6039908999670701
2075,,,,,,,,
2100,0.34928361245825595,0.34928361245825595,0.34928361245825595,0.34928361245825595,0.349283612458256,0.34928361245825595,0.34928361245825595,0.34928361245825595
2150,0.24052707932359288,0.24052707932359285,0.24052707932359282,0.24052707932359288,0.24052707932359288,0.24052707932359285,0.24052707932359285,0.24052707932359285
2200,0.13177054618892975,0.13177054618892972,0.13177054618892975,0.13177054618892975,0.13177054618892972,0.13177054618892972,0.13177054618892972,0.13177054618892972
2250,0.023014013054266622,0.023014013054266622,0.02301401305426662,0.023014013054266622,0.023014013054266622,0.023014013054266622,0.02301401305426662,0.023014013054266622
2300,0.023014013054266622,0.023014013054266622,0.02301401305426662,0.023014013054266622,0.023014013054266622,0.023014013054266622,0.02301401305426662,0.023014013054266622
