# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942
2030,0.6926700140185424,0.6926700140185426,0.6926700140185426,0.6926700140185426,0.6926700140185424,0.6926700140185426,0.6926700140185426,0.6926700140185424
2040,0.8585025250885815,0.8585025250885816,0.8585025250885816,0.8585025250885817,0.8585025250885816,0.8585025250885816,0.8585025250885815,0.8585025250885816
2050,0.9639108795746048,0.9639108795746048,0.9639108795746048,0.9639108795746048,0.9639108795746046,0.9639108795746048,0.9639108795746046,0.9639108795746046
2075,,,,,,,,
2100,0.8515903655014915,0.8515903655014916,0.8515903655014916,0.8515903655014917,0.8515903655014916,0.8515903655014917,0.8515903655014915,0.8515903655014915
2150,0.5677269103343277,0.5677269103343278,0.5677269103343278,0.5677269103343278,0.5677269103343278,0.5677269103343278,0.5677269103343278,0.5677269103343278
2200,0.28386345516716377,0.2838634551671638,0.28386345516716377,0.2838634551671638,0.2838634551671638,0.2838634551671638,0.28386345516716377,0.2838634551671638
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
