# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,1045.4305285796747,1045.4305285796747,1045.430528579675,1045.430528579675,1045.4305285796747,1045.4305285796747,1045.430528579675,1045.430528579675
2030,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.8800925976632,1126.880092597663,1126.8800925976634,1126.8800925976632
2040,1192.2019066238638,1192.2019066238638,1192.2019066238638,1192.201906623864,1192.2019066238638,1192.2019066238638,1192.201906623864,1192.201906623864
2050,1173.6158237323036,1173.6158237323036,1173.6158237323036,1173.6158237323036,1173.6158237323036,1173.6158237323036,1173.6158237323039,1173.6158237323039
2075,,,,,,,,
2100,1133.8522129657633,1133.8522129657633,1133.8522129657633,1133.8522129657633,1133.8522129657633,1133.8522129657633,1133.8522129657636,1133.8522129657636
2150,1065.911505330512,1065.911505330512,1065.9115053305118,1065.911505330512,1065.911505330512,1065.9115053305118,1065.911505330512,1065.911505330512
2200,997.9707976952603,997.9707976952603,997.9707976952603,997.9707976952604,997.9707976952603,997.9707976952603,997.9707976952604,997.9707976952604
2250,930.0300900600087,930.0300900600087,930.0300900600087,930.0300900600088,930.0300900600087,930.0300900600088,930.0300900600088,930.0300900600089
2300,930.0300900600087,930.0300900600087,930.0300900600087,930.0300900600088,930.0300900600087,930.0300900600088,930.0300900600088,930.0300900600089
