# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.9082800500437359,0.9082800500437358,0.9082800500437358,0.9082800500437359,0.9082800500437359,0.9082800500437358,0.9082800500437358,0.9082800500437359
2030,0.8103553861934977,0.8103553861934976,0.8103553861934976,0.8103553861934977,0.8103553861934977,0.8103553861934976,0.8103553861934976,0.8103553861934977
2040,0.8099529863438791,0.809952986343879,0.809952986343879,0.809952986343879,0.809952986343879,0.8099529863438789,0.809952986343879,0.809952986343879
2050,0.4322940427365744,0.4322940427365743,0.43229404273657435,0.4322940427365744,0.4322940427365744,0.43229404273657435,0.4322940427365743,0.43229404273657435
2075,,,,,,,,
2100,0.12842958987184439,0.12842958987184439,0.12842958987184439,0.12842958987184439,0.12842958987184439,0.12842958987184439,0.12842958987184436,0.12842958987184436
2150,0.09274874633478424,0.09274874633478424,0.09274874633478424,0.09274874633478425,0.09274874633478425,0.09274874633478424,0.09274874633478424,0.09274874633478425
2200,0.05706790279772412,0.057067902797724106,0.05706790279772411,0.05706790279772412,0.05706790279772412,0.05706790279772411,0.057067902797724106,0.05706790279772411
2250,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663973,0.021387059260663973
2300,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663976,0.021387059260663973,0.021387059260663973
