# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.5487723743122551,0.5487723743122551,0.5487723743122552,0.5487723743122552,0.5487723743122551,0.5487723743122552,0.5487723743122552,0.5487723743122552
2030,0.42108067972313623,0.42108067972313623,0.4210806797231362,0.4210806797231363,0.42108067972313623,0.42108067972313623,0.4210806797231362,0.4210806797231362
2040,0.36225988938388215,0.3622598893838822,0.3622598893838822,0.3622598893838822,0.36225988938388215,0.3622598893838822,0.3622598893838822,0.36225988938388215
2050,0.32129079523904974,0.32129079523904974,0.3212907952390498,0.32129079523904974,0.32129079523904974,0.3212907952390498,0.32129079523904974,0.32129079523904974
2075,,,,,,,,
2100,0.14289346449972679,0.1428934644997268,0.1428934644997268,0.1428934644997268,0.1428934644997268,0.1428934644997268,0.1428934644997268,0.14289346449972679
2150,0.09526230966648452,0.09526230966648454,0.09526230966648452,0.09526230966648454,0.09526230966648454,0.09526230966648454,0.09526230966648452,0.09526230966648454
2200,0.047631154833242255,0.047631154833242255,0.04763115483324226,0.04763115483324226,0.047631154833242255,0.04763115483324226,0.04763115483324225,0.04763115483324225
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
