# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.965557658410358,0.9655576584103581,0.965557658410358,0.965557658410358,0.9655576584103581,0.965557658410358,0.965557658410358,0.9655576584103581
2030,0.8425805811264028,0.8425805811264029,0.8425805811264029,0.8425805811264028,0.8425805811264028,0.8425805811264029,0.8425805811264029,0.8425805811264029
2040,0.6430543594824918,0.6430543594824918,0.6430543594824918,0.6430543594824917,0.6430543594824918,0.6430543594824918,0.6430543594824919,0.6430543594824918
2050,0.43575587634370533,0.4357558763437053,0.4357558763437053,0.4357558763437052,0.43575587634370533,0.43575587634370533,0.4357558763437053,0.4357558763437053
2075,,,,,,,,
2100,-0.20904850454350515,-0.20904850454350518,-0.20904850454350515,-0.20904850454350515,-0.20904850454350518,-0.20904850454350515,-0.20904850454350518,-0.20904850454350515
2150,-0.11097942798886144,-0.11097942798886144,-0.11097942798886143,-0.11097942798886143,-0.11097942798886144,-0.11097942798886143,-0.11097942798886144,-0.11097942798886144
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
