# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,916.3892214123476,916.3892214123476,916.3892214123476,916.3892214123478,916.3892214123476,916.3892214123476,916.3892214123478,916.3892214123478
2030,794.0274634868075,794.0274634868075,794.0274634868075,794.0274634868075,794.0274634868074,794.0274634868074,794.0274634868076,794.0274634868075
2040,732.0772170109398,732.0772170109399,732.0772170109399,732.07721701094,732.0772170109399,732.0772170109398,732.0772170109399,732.07721701094
2050,707.5969531748112,707.5969531748112,707.5969531748112,707.5969531748113,707.5969531748112,707.5969531748112,707.5969531748113,707.5969531748113
2075,,,,,,,,
2100,744.6454956223107,744.6454956223108,744.6454956223108,744.6454956223108,744.6454956223108,744.6454956223107,744.6454956223108,744.6454956223108
2150,700.0261516447989,700.0261516447989,700.0261516447989,700.026151644799,700.0261516447989,700.026151644799,700.026151644799,700.026151644799
2200,655.4068076672872,655.4068076672872,655.4068076672871,655.4068076672872,655.4068076672871,655.4068076672872,655.4068076672874,655.4068076672872
2250,610.7874636897753,610.7874636897753,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754
2300,610.7874636897753,610.7874636897753,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754,610.7874636897754
