# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942,0.6203189710603942
2030,0.6926700140185428,0.6926700140185428,0.6926700140185428,0.6926700140185429,0.6926700140185428,0.6926700140185429,0.6926700140185428,0.6926700140185428
2040,0.8585025250885813,0.8585025250885814,0.8585025250885813,0.8585025250885813,0.8585025250885813,0.8585025250885814,0.8585025250885813,0.8585025250885812
2050,0.3108139710045848,0.3108139710045848,0.3108139710045848,0.31081397100458485,0.3108139710045848,0.31081397100458485,0.3108139710045848,0.3108139710045848
2075,,,,,,,,
2100,0.06735361719954268,0.06735361719954268,0.06735361719954268,0.06735361719954269,0.06735361719954268,0.06735361719954268,0.06735361719954268,0.06735361719954268
2150,0.04490241146636179,0.0449024114663618,0.04490241146636179,0.0449024114663618,0.04490241146636179,0.0449024114663618,0.04490241146636179,0.04490241146636179
2200,0.0224512057331809,0.022451205733180903,0.022451205733180903,0.022451205733180907,0.022451205733180903,0.022451205733180903,0.022451205733180903,0.0224512057331809
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
